Tanggal,Kurs_Close,Kurs_High,Kurs_Low,Volume
2020-01-01,13690.3720703125,13876.0,13681.833984375,0
2020-01-02,13689.2314453125,13906.0,13688.203125,0
2020-01-03,13884.7861328125,13966.0,13775.5,0
2020-01-06,13934.31640625,13973.2998046875,13916.0,0
2020-01-07,13926.5,13939.0,13875.5,0
2020-01-08,13867.236328125,13956.2998046875,13859.5,0
2020-01-09,13886.939453125,13900.9638671875,13833.0,0
2020-01-10,13827.560546875,13870.5,13716.0,0
2020-01-13,13522.4345703125,13756.0,13523.8193359375,0
2020-01-14,13665.3046875,13718.0,13635.0,0
2020-01-15,13668.0400390625,13727.2001953125,13637.0,0
2020-01-16,13665.0966796875,13723.5,13615.5,0
2020-01-17,13623.0,13688.0,13616.91796875,0
2020-01-20,13456.98828125,13657.900390625,13447.69140625,0
2020-01-21,13615.0,13690.5,13614.0,0
2020-01-22,13651.0,13714.5,13555.0,0
2020-01-23,13626.38671875,13678.0,13603.0,0
2020-01-24,13609.1884765625,13692.0,13556.0,0
2020-01-27,13711.9736328125,13711.8466796875,13566.0,0
2020-01-28,13213.240234375,13719.0,13215.0400390625,0
2020-01-29,13634.0,13658.7998046875,13604.0771484375,0
2020-01-30,13614.0146484375,13701.900390625,13611.5146484375,0
2020-01-31,13643.1806640625,13783.599609375,13593.8984375,0
2020-02-03,13633.126953125,13810.5,13638.9052734375,0
2020-02-04,13735.5,13771.2998046875,13681.5,0
2020-02-05,13702.4072265625,13731.7998046875,13628.599609375,0
2020-02-06,13668.267578125,13680.0,13593.0,0
2020-02-07,13698.0,13762.599609375,13434.669921875,0
2020-02-10,13675.853515625,13757.2998046875,13667.3642578125,0
2020-02-11,13691.58984375,13745.0,13648.0,0
2020-02-12,13657.5537109375,13684.599609375,13641.2998046875,0
2020-02-13,13500.7373046875,13718.400390625,13494.7958984375,0
2020-02-14,13695.400390625,13745.5,13668.0,0
2020-02-17,13681.2900390625,13695.900390625,13646.0,0
2020-02-18,13649.2412109375,13726.0,13649.21484375,0
2020-02-19,13768.0,13769.7998046875,13645.3505859375,0
2020-02-20,13762.0,13845.099609375,13655.7890625,0
2020-02-21,13703.482421875,13899.2998046875,13701.666015625,0
2020-02-24,13771.486328125,13968.900390625,13757.0,0
2020-02-25,13879.9296875,14051.0,13851.2001953125,0
2020-02-26,14056.5,14108.5,13856.7529296875,0
2020-02-27,13931.0,14176.900390625,13901.0,0
2020-02-28,14316.0,14422.0,14009.62890625,0
2020-03-02,13971.9619140625,14731.0,13929.294921875,0
2020-03-03,14220.0,14277.0,14056.900390625,0
2020-03-04,14199.5,14275.0,14057.5,0
2020-03-05,14256.0,14292.5,14111.0,0
2020-03-06,14309.599609375,14463.7998046875,14187.0,0
2020-03-09,14251.5390625,14796.0,14124.7646484375,0
2020-03-10,14094.818359375,14702.0,13877.818359375,0
2020-03-11,14272.900390625,14481.0,14273.099609375,0
2020-03-12,14526.0,14709.5,14244.03125,0
2020-03-13,14850.0,14984.0,14060.0,0
2020-03-16,14635.0224609375,15131.5,14610.8330078125,0
2020-03-17,15192.0,15280.5,14923.9638671875,0
2020-03-18,14955.7880859375,15523.0,14889.900390625,0
2020-03-19,15474.5,16180.0,15437.5,0
2020-03-20,15908.0,16327.5,15785.5,0
2020-03-23,15766.2470703125,16639.5,16045.0,0
2020-03-24,16504.80078125,16915.0,16149.0,0
2020-03-25,16216.5,16493.0,15701.0,0
2020-03-26,16447.720703125,16449.21875,15959.5,0
2020-03-27,16218.63671875,16355.0,14944.5,0
2020-03-30,16005.3349609375,16439.5,15739.6123046875,0
2020-03-31,16346.9619140625,16474.5,16034.5,0
2020-04-01,16277.943359375,17178.0,16273.0,0
2020-04-02,16412.80859375,17144.0,16399.5,0
2020-04-03,16441.263671875,16849.0,16440.923828125,0
2020-04-06,16418.0,16785.0,16352.0087890625,0
2020-04-07,16364.6484375,16633.5,15969.5,0
2020-04-08,16225.0,16349.5,16054.5,0
2020-04-09,16159.376953125,16241.0,15710.2998046875,0
2020-04-10,15811.9677734375,15835.0,15587.2001953125,0
2020-04-13,15800.0,15854.0,15610.5,0
2020-04-14,15751.0,15778.0,15351.5,0
2020-04-15,15578.3466796875,15793.0,15568.0,0
2020-04-16,15887.5,15881.0,15319.5,0
2020-04-17,15568.3388671875,15821.0,15383.2001953125,0
2020-04-20,15423.0,15662.0,15172.310546875,0
2020-04-21,15377.080078125,15712.0,15375.48046875,0
2020-04-22,15394.6787109375,15875.5,15388.1572265625,0
2020-04-23,15408.6220703125,15770.5,15416.7470703125,0
2020-04-24,15665.0,15784.5,15398.6767578125,0
2020-04-27,15348.744140625,15584.0,15348.259765625,0
2020-04-28,15312.3857421875,15637.0,15299.08984375,0
2020-04-29,15364.5947265625,15497.7998046875,15180.2998046875,0
2020-04-30,15234.63671875,15241.642578125,14399.0,0
2020-05-01,15249.0,15446.0,14535.05078125,0
2020-05-04,14671.0,15236.0,14841.541015625,0
2020-05-05,15044.0,15293.0,14989.900390625,0
2020-05-06,15335.0,15332.7998046875,15026.5,0
2020-05-07,14998.33203125,15430.0,14993.8427734375,0
2020-05-08,15227.0,15227.0,14880.5,0
2020-05-11,14721.3984375,14980.0,14868.5,0
2020-05-12,14848.7001953125,15057.5,14773.0,0
2020-05-13,14994.0,14997.7998046875,14777.0,0
2020-05-14,14846.873046875,14973.0,14824.2001953125,0
2020-05-15,14810.1201171875,15027.0,14814.4423828125,0
2020-05-18,14853.0,14912.5,14799.2998046875,0
2020-05-19,14878.0,14885.5,14749.2998046875,0
2020-05-20,14748.447265625,14855.5,14682.0,0
2020-05-21,14771.0,14773.5,14671.5,0
2020-05-22,14826.0,14924.0,14684.970703125,0
2020-05-25,14703.0,14875.0,14502.7119140625,0
2020-05-26,14501.7578125,15008.5,14496.7001953125,0
2020-05-27,14850.0,14842.5,14680.0,0
2020-05-28,14888.5,14815.2998046875,14633.3505859375,0
2020-05-29,14825.0,14882.2412109375,14507.0,0
2020-06-01,14603.0,14603.0,14435.5,0
2020-06-02,14573.5,14603.0,14334.0,0
2020-06-03,14343.8232421875,14375.099609375,14082.0,0
2020-06-04,14130.0,14194.2998046875,14043.388671875,0
2020-06-05,14085.447265625,14170.0,13888.0,0
2020-06-08,13863.0,14034.0,13804.8330078125,0
2020-06-09,14070.7998046875,14123.7998046875,13835.662109375,0
2020-06-10,13852.103515625,14249.2001953125,13852.904296875,0
2020-06-11,13947.443359375,14249.5,13944.5732421875,0
2020-06-12,14475.0,14475.0,13947.619140625,0
2020-06-15,14118.0,14312.7001953125,13976.2763671875,0
2020-06-16,13988.119140625,14235.7001953125,13983.3310546875,0
2020-06-17,14275.0,14243.400390625,14013.880859375,0
2020-06-18,14102.7353515625,14243.099609375,14047.580078125,0
2020-06-19,13997.6923828125,14250.2998046875,14000.814453125,0
2020-06-22,14093.0,14301.5,14045.9111328125,0
2020-06-23,14080.134765625,14267.900390625,14020.599609375,0
2020-06-24,14113.177734375,14250.7001953125,14080.0,0
2020-06-25,14289.2998046875,14288.099609375,14102.7001953125,0
2020-06-26,14376.2001953125,14364.599609375,14098.1982421875,0
2020-06-29,14213.0,14397.099609375,14132.84375,0
2020-06-30,14470.2001953125,14593.5,14149.693359375,0
2020-07-01,14194.05078125,14604.2001953125,14148.2001953125,0
2020-07-02,14187.8583984375,14591.400390625,14187.900390625,0
2020-07-03,14298.779296875,14626.400390625,14298.2509765625,0
2020-07-06,14503.0,14526.2998046875,14266.791015625,0
2020-07-07,14206.5087890625,14483.0,14182.484375,0
2020-07-08,14483.5,14483.5,14234.603515625,0
