Tanggal,DXY_Index,Harga_Emas,Kurs_USDIDR,IHSG_Index,BI_Rate
2024-06-24,105.47000122070312,2330.0,16443.0,6889.1650390625,5.75
2024-06-25,105.61000061035156,2316.60009765625,16394.099609375,6882.7041015625,5.75
2024-06-26,106.05000305175781,2299.199951171875,16401.0,6905.64208984375,5.75
2024-06-27,105.91000366210938,2324.5,16434.0,6967.951171875,5.75
2024-06-28,105.87000274658203,2327.699951171875,16374.400390625,7063.5771484375,5.75
2024-07-01,105.9000015258789,2327.60009765625,16343.0,7139.6259765625,5.75
2024-07-02,105.72000122070312,2323.0,16390.0,7125.14208984375,5.75
2024-07-03,105.4000015258789,2359.800048828125,16391.0,7196.7548828125,5.75
2024-07-05,104.87999725341797,2388.5,16328.5,7253.3720703125,5.75
2024-07-08,105.01000213623047,2355.199951171875,16245.0,7250.97705078125,5.75
2024-07-09,105.12000274658203,2360.10009765625,16277.2001953125,7269.80078125,5.75
2024-07-10,105.05000305175781,2372.199951171875,16277.0,7287.0419921875,5.75
2024-07-11,104.44000244140625,2415.0,16198.0,7300.4072265625,5.75
2024-07-12,104.08999633789062,2414.0,16104.0,7327.580078125,5.75
2024-07-15,104.19000244140625,2422.89990234375,16108.0,7278.86279296875,5.75
2024-07-16,104.2699966430664,2462.39990234375,16195.0,7224.29296875,5.75
2024-07-17,103.75,2454.800048828125,16173.0,7224.2177734375,5.75
2024-07-18,104.16999816894531,2451.800048828125,16138.0,7321.07080078125,5.75
2024-07-19,104.4000015258789,2395.5,16185.0,7294.4951171875,5.75
2024-07-22,104.30999755859375,2392.0,16206.0,7321.97607421875,5.75
2024-07-23,104.44999694824219,2404.60009765625,16220.2001953125,7313.85693359375,5.75
2024-07-24,104.38999938964844,2413.300048828125,16222.0,7262.7587890625,5.75
2024-07-25,104.36000061035156,2351.89990234375,16246.0,7240.27685546875,5.75
2024-07-26,104.31999969482422,2380.0,16337.7998046875,7288.1669921875,5.75
2024-07-29,104.55999755859375,2377.300048828125,16283.0,7288.89697265625,5.75
2024-07-30,104.55000305175781,2405.0,16301.7001953125,7241.86376953125,5.75
2024-07-31,104.0999984741211,2426.5,16328.5,7255.76220703125,5.75
2024-08-01,104.41999816894531,2435.0,16255.0,7325.98486328125,5.75
2024-08-02,103.20999908447266,2425.699951171875,16281.0,7308.123046875,5.75
2024-08-05,102.69000244140625,2401.699951171875,16012.0,7059.65283203125,5.75
2024-08-06,102.97000122070312,2389.10009765625,16208.0,7129.21484375,5.75
2024-08-07,103.19999694824219,2390.5,16152.2998046875,7212.130859375,5.75
2024-08-08,103.20999908447266,2422.199951171875,16023.0,7195.12109375,5.75
2024-08-09,103.13999938964844,2432.10009765625,15979.0,7256.99609375,5.75
2024-08-12,103.13999938964844,2462.39990234375,15918.0,7297.625,5.75
2024-08-13,102.55999755859375,2466.699951171875,15949.099609375,7356.63818359375,5.75
2024-08-14,102.56999969482422,2439.39990234375,15749.0,7436.0390625,5.75
2024-08-15,102.9800033569336,2453.10009765625,15619.5,7409.5009765625,5.75
2024-08-16,102.45999908447266,2498.60009765625,15755.0,7432.08984375,5.75
2024-08-19,101.88999938964844,2501.800048828125,15683.0,7466.8310546875,5.75
2024-08-20,101.44000244140625,2511.300048828125,15523.0,7533.98486328125,5.75
2024-08-21,101.04000091552734,2508.39990234375,15442.0,7554.5927734375,5.75
2024-08-22,101.51000213623047,2478.89990234375,15484.0,7488.67578125,5.75
2024-08-23,100.72000122070312,2508.39990234375,15728.5,7544.2978515625,5.75
2024-08-26,100.8499984741211,2517.699951171875,15377.2001953125,7606.19482421875,5.75
2024-08-27,100.55000305175781,2516.0,15462.599609375,7597.880859375,5.75
2024-08-28,101.08999633789062,2501.0,15467.099609375,7658.875,5.75
2024-08-29,101.33999633789062,2525.699951171875,15440.0,7627.60400390625,5.75
2024-08-30,101.69999694824219,2493.800048828125,15444.7998046875,7670.73291015625,5.75
2024-09-03,101.83000183105469,2489.89990234375,15520.099609375,7616.52099609375,5.75
2024-09-04,101.36000061035156,2493.39990234375,15532.900390625,7672.89599609375,5.75
2024-09-05,101.11000061035156,2511.39990234375,15444.400390625,7681.04296875,5.75
2024-09-06,101.18000030517578,2493.5,15417.0,7721.84619140625,5.75
2024-09-09,101.55000305175781,2501.800048828125,15405.0,7702.73876953125,5.75
2024-09-10,101.62999725341797,2512.300048828125,15456.7998046875,7761.38818359375,5.75
2024-09-11,101.68000030517578,2512.10009765625,15489.0,7760.955078125,5.75
2024-09-12,101.37000274658203,2551.199951171875,15437.0,7798.15380859375,5.75
2024-09-13,101.11000061035156,2581.300048828125,15418.7001953125,7812.130859375,5.75
2024-09-17,100.88999938964844,2564.300048828125,15385.0,7831.77880859375,5.75
2024-09-18,100.5999984741211,2570.699951171875,15345.0,7829.134765625,5.75
2024-09-19,100.61000061035156,2588.0,15300.2001953125,7905.39013671875,5.75
2024-09-20,100.72000122070312,2619.89990234375,15197.599609375,7743.00390625,5.75
2024-09-23,100.91999816894531,2626.5,15154.0,7775.73095703125,5.75
2024-09-24,100.37000274658203,2651.199951171875,15174.099609375,7778.4912109375,5.75
2024-09-25,100.91999816894531,2659.199951171875,15121.099609375,7740.90185546875,5.75
2024-09-26,100.55999755859375,2669.89990234375,15201.5,7744.51611328125,5.75
2024-09-27,100.41999816894531,2644.300048828125,15070.0,7696.916015625,5.75
2024-09-30,100.77999877929688,2636.10009765625,15118.0,7527.92919921875,5.75
2024-10-01,101.19000244140625,2667.300048828125,15170.599609375,7642.1328125,5.75
2024-10-02,101.68000030517578,2647.10009765625,15260.599609375,7563.26220703125,5.75
2024-10-03,101.98999786376953,2657.10009765625,15324.0,7543.828125,5.75
2024-10-04,102.5199966430664,2645.800048828125,15457.0,7496.0908203125,5.75
2024-10-07,102.54000091552734,2644.800048828125,15650.0,7504.134765625,5.75
2024-10-08,102.55000305175781,2615.0,15744.0,7557.14208984375,5.75
2024-10-09,102.93000030517578,2606.0,15682.400390625,7501.28515625,5.75
2024-10-10,102.98999786376953,2620.60009765625,15664.599609375,7480.080078125,5.75
2024-10-11,102.88999938964844,2657.60009765625,15670.900390625,7520.60205078125,5.75
2024-10-14,103.30000305175781,2647.800048828125,15562.0,7559.65478515625,5.75
2024-10-15,103.26000213623047,2661.39990234375,15573.0,7626.951171875,5.75
2024-10-16,103.58999633789062,2674.0,15578.599609375,7648.93994140625,5.75
2024-10-17,103.83000183105469,2691.0,15583.900390625,7735.0390625,5.75
2024-10-18,103.48999786376953,2713.699951171875,15493.0,7760.06005859375,5.75
2024-10-21,104.01000213623047,2723.10009765625,15467.0,7772.59619140625,5.75
2024-10-22,104.08000183105469,2744.199951171875,15556.0,7788.98291015625,5.75
2024-10-23,104.43000030517578,2714.39990234375,15586.0,7787.56494140625,5.75
2024-10-24,104.05999755859375,2734.89990234375,15663.0,7716.548828125,5.75
2024-10-25,104.26000213623047,2740.89990234375,15621.5,7694.66015625,5.75
2024-10-28,104.31999969482422,2742.89990234375,15688.099609375,7634.630859375,5.75
2024-10-29,104.27999877929688,2768.39990234375,15747.0,7606.60009765625,5.75
2024-10-30,103.98999786376953,2788.5,15768.0,7569.85009765625,5.75
2024-10-31,103.9800033569336,2738.300048828125,15695.5,7574.01904296875,5.75
2024-11-01,104.27999877929688,2738.60009765625,15713.0,7505.2568359375,5.75
2024-11-04,103.88999938964844,2736.10009765625,15842.0,7479.5029296875,5.75
2024-11-05,103.41999816894531,2740.300048828125,15790.0,7491.93115234375,5.75
2024-11-06,105.08999633789062,2667.60009765625,15665.0,7383.8681640625,5.75
2024-11-07,104.51000213623047,2698.39990234375,15818.2001953125,7243.85986328125,5.75
2024-11-08,105.0,2687.5,15558.0,7287.19091796875,5.75
2024-11-11,105.54000091552734,2611.199951171875,15647.2001953125,7266.4599609375,5.75
2024-11-12,106.0199966430664,2600.0,15765.0,7321.98583984375,5.75
2024-11-13,106.4800033569336,2580.800048828125,15788.900390625,7308.6708984375,5.75
2024-11-14,106.66999816894531,2568.199951171875,15847.2001953125,7214.56103515625,5.75
2024-11-15,106.69000244140625,2565.699951171875,15933.2998046875,7161.2578125,5.75
2024-11-18,106.27999877929688,2610.60009765625,15891.2998046875,7134.27685546875,5.75
2024-11-19,106.20999908447266,2627.10009765625,15806.099609375,7195.71484375,5.75
2024-11-20,106.68000030517578,2648.199951171875,15817.099609375,7180.3349609375,5.75
2024-11-21,106.97000122070312,2672.10009765625,15913.0,7140.912109375,5.75
